2021-10-24 17:09:53 | INFO | fairseq_cli.generate | Namespace(all_gather_list_size=16384, batch_size=64, batch_size_valid=64, beam=5, bf16=False, bpe='sentencepiece', broadcast_buffers=False, bucket_cap_mb=25, checkpoint_shard_count=1, checkpoint_suffix='', constraints=None, cpu=False, criterion='cross_entropy', curriculum=0, data='/mnt/Machine-Translation/processed/gu/gu-en', data_buffer_size=10, dataset_impl=None, ddp_backend='c10d', decoding_format=None, device_id=0, disable_validation=False, distributed_backend='nccl', distributed_init_method=None, distributed_no_spawn=False, distributed_port=-1, distributed_rank=0, distributed_world_size=1, distributed_wrapper='DDP', diverse_beam_groups=-1, diverse_beam_strength=0.5, diversity_rate=-1.0, empty_cache_freq=0, eval_bleu=False, eval_bleu_args=None, eval_bleu_detok='space', eval_bleu_detok_args=None, eval_bleu_print_samples=False, eval_bleu_remove_bpe=None, eval_tokenized_bleu=False, fast_stat_sync=False, find_unused_parameters=False, fix_batches_to_gpus=False, fixed_validation_seed=None, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_no_flatten_grads=False, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', iter_decode_eos_penalty=0.0, iter_decode_force_max_iter=False, iter_decode_max_iter=10, iter_decode_with_beam=1, iter_decode_with_external_reranker=False, langs='ar_AR,cs_CZ,de_DE,en_XX,es_XX,et_EE,fi_FI,fr_XX,gu_IN,hi_IN,it_IT,ja_XX,kk_KZ,ko_KR,lt_LT,lv_LV,my_MM,ne_NP,nl_XX,ro_RO,ru_RU,si_LK,tr_TR,vi_VN,zh_CN', left_pad_source='True', left_pad_target='False', lenpen=1, lm_path=None, lm_weight=0.0, load_alignments=False, localsgd_frequency=3, log_format=None, log_interval=100, lr_scheduler='fixed', lr_shrink=0.1, match_source_len=False, max_len_a=0, max_len_b=200, max_source_positions=1024, max_target_positions=1024, max_tokens=None, max_tokens_valid=None, memory_efficient_bf16=False, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', model_parallel_size=1, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, no_seed_provided=False, nprocs_per_node=1, num_batch_buckets=0, num_shards=1, num_workers=1, optimizer=None, path='/mnt/Machine-Translation/no_transfer/checkpoint_best.pt', pipeline_balance=None, pipeline_checkpoint='never', pipeline_chunks=0, pipeline_decoder_balance=None, pipeline_decoder_devices=None, pipeline_devices=None, pipeline_encoder_balance=None, pipeline_encoder_devices=None, pipeline_model_parallel=False, prefix_size=0, prepend_bos=False, print_alignment=False, print_step=False, profile=False, quantization_config_path=None, quiet=False, remove_bpe='sentencepiece', replace_unk=None, required_batch_size_multiple=8, required_seq_len_multiple=1, results_path=None, retain_dropout=False, retain_dropout_modules=None, retain_iter_history=False, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, scoring='bleu', seed=1, sentencepiece_model='/mnt/mbart.cc25.v2/sentence.bpe.model', shard_id=0, skip_invalid_size_inputs_valid_test=False, slowmo_algorithm='LocalSGD', slowmo_momentum=None, source_lang='gu_IN', target_lang='en_XX', task='translation_from_pretrained_bart', temperature=1.0, tensorboard_logdir=None, threshold_loss_scale=None, tokenizer=None, tpu=False, train_subset='train', truncate_source=False, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, valid_subset='valid', validate_after_updates=0, validate_interval=1, validate_interval_updates=0, warmup_updates=0, zero_sharding='none')
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [gu_IN] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | [en_XX] dictionary: 250001 types
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.gu_IN
2021-10-24 17:09:55 | INFO | fairseq.data.data_utils | loaded 930 examples from: /mnt/Machine-Translation/processed/gu/gu-en/test.gu_IN-en_XX.en_XX
2021-10-24 17:09:55 | INFO | fairseq.tasks.translation | /mnt/Machine-Translation/processed/gu/gu-en test gu_IN-en_XX 930 examples
2021-10-24 17:09:55 | INFO | fairseq_cli.generate | loading model(s) from /mnt/Machine-Translation/no_transfer/checkpoint_best.pt
S-315	đôngminh[gu_IN]
S-201	બ્રાઈમોર[gu_IN]
T-201	brimore
H-201	-0.3791341185569763	
D-201	-0.3791341185569763	
P-201	-0.0073 -0.7509
S-898	નૂપુરક[gu_IN]
T-898	annelid
H-898	-0.26431483030319214	
D-898	-0.26431483030319214	
P-898	-0.0073 -0.5213
S-663	પ્રચક્રણ[gu_IN]
T-663	spin
H-663	-0.8218823671340942	
D-663	-0.8218823671340942	
P-663	-0.0074 -1.6363
S-135	બીલીમોરા[gu_IN]
T-135	bilimora
H-135	-0.5090180039405823	
D-135	-0.5090180039405823	
P-135	-0.0074 -1.0106
S-926	ઇન્ડિયનબેંક[gu_IN]
T-926	indianbank
H-926	-1.3937269449234009	
D-926	-1.3937269449234009	
P-926	-0.0067 -2.7808
S-599	ડેઝાવુ[gu_IN]
T-599	déjàvu
H-599	-0.503131091594696	
D-599	-0.503131091594696	
P-599	-0.0072 -0.9991
S-680	પાયથોન[gu_IN]
T-680	python
H-680	-0.7756586670875549	
D-680	-0.7756586670875549	
P-680	-0.0076 -1.5437
S-246	સંપ્રદાયો[gu_IN]
T-246	sects
H-246	-1.1153504848480225	
D-246	-1.1153504848480225	
P-246	-0.0076 -2.2231
S-68	રતલામ[gu_IN]
T-68	ratlam
H-68	-1.3817039728164673	
D-68	-1.3817039728164673	
P-68	-0.0077 -2.7557
S-139	ગર્ભનિરોધ[gu_IN]
T-139	birthcontrol
H-139	-1.252253532409668	
D-139	-1.252253532409668	
P-139	-0.0068 -2.4977
S-88	અડતાળા[gu_IN]
T-88	adtala
H-88	-1.3484431505203247	
D-88	-1.3484431505203247	
P-88	-0.0072 -2.6897
S-739	શરબત[gu_IN]
T-739	sharbat
H-739	-0.4238160252571106	
D-739	-0.4238160252571106	
P-739	-0.0076 -0.8401
S-344	તિબેટ[gu_IN]
T-344	tibet
H-344	-0.7279919981956482	
D-344	-0.7279919981956482	
P-344	-0.0077 -1.4483
S-853	શાકભાજી[gu_IN]
T-853	vegetable
H-853	-1.954958438873291	
D-853	-1.954958438873291	
P-853	-0.0066 -3.9033
S-582	ઘેલોનદી[gu_IN]
T-582	ghela
H-582	-1.0026631355285645	
D-582	-1.0026631355285645	
P-582	-0.0072 -1.9981
S-872	મેક્સિકો[gu_IN]
T-872	mexico
H-872	-1.3049017190933228	
D-872	-1.3049017190933228	
P-872	-0.0080 -2.6018
S-122	મધેપુરા[gu_IN]
T-122	madhepura
H-122	-0.9681193828582764	
D-122	-0.9681193828582764	
P-122	-0.0074 -1.9288
S-578	લક્ષ્મી[gu_IN]
T-578	lakshmi
H-578	-0.24164815247058868	
D-578	-0.24164815247058868	
P-578	-0.0075 -0.4758
S-743	ઇજનેરી[gu_IN]
T-743	engineering
H-743	-1.037340521812439	
D-743	-1.037340521812439	
P-743	-0.0086 -2.0661
S-286	શેમ્પેન[gu_IN]
T-286	champagne
H-286	-0.9481326937675476	
D-286	-0.9481326937675476	
P-286	-0.0078 -1.8885
S-893	સ્વરૂપસંપત[gu_IN]
T-893	swaroopsampat
H-893	-0.4703018069267273	સંપત
D-893	-0.4703018069267273	સંપત
P-893	-0.0072 -1.7802 -0.1515 -0.0311 -0.3815
S-467	સ્વદેશી[gu_IN]
T-467	swadeshimovement
H-467	-1.1468381881713867	
D-467	-1.1468381881713867	
P-467	-0.0078 -2.2858
S-388	સરદારપટેલયુનિવર્સિટી[gu_IN]
T-388	sardarpateluniversity
H-388	-0.93641197681427	પટેલ યુનિવર્સિટી
D-388	-0.93641197681427	પટેલયુનિવર્સિટી
P-388	-0.0070 -2.9446 -0.4999 -0.0406 -1.1900
S-196	ચાંગા[gu_IN]
T-196	changaanand
H-196	-0.30841684341430664	
D-196	-0.30841684341430664	
P-196	-0.0078 -0.6091
S-771	મીકાસિંહ[gu_IN]
T-771	mikasingh
H-771	-1.6641771793365479	
D-771	-1.6641771793365479	
P-771	-0.0069 -3.3215
S-152	અનાથલેખ[gu_IN]
T-152	orphanedarticles
H-152	-2.250229835510254	gujarati literature
D-152	-2.250229835510254	gujaratiliterature
P-152	-0.0072 -5.4004 -1.5497 -0.5454 -5.5133 -1.9801 -0.7554
S-475	સચીન[gu_IN]
T-475	sachingujarat
H-475	-0.37644752860069275	
D-475	-0.37644752860069275	
P-475	-0.0073 -0.7456
S-229	ચણોદ[gu_IN]
T-229	chanodvalsad
H-229	-0.7991459965705872	
D-229	-0.7991459965705872	
P-229	-0.0072 -1.5911
S-929	કોયલકુટુંબ[gu_IN]
T-929	eudynamys
H-929	-0.651530385017395	
D-929	-0.651530385017395	
P-929	-0.0070 -1.2960
S-897	કરકરો[gu_IN]
T-897	demoisellecrane
H-897	-1.2825990915298462	
D-897	-1.2825990915298462	
P-897	-0.0079 -2.5573
S-874	ઝારખંડ[gu_IN]
T-874	jharkhand
H-874	-0.9941964149475098	
D-874	-0.9941964149475098	
P-874	-0.0077 -1.9807
S-439	ભેંસ[gu_IN]
T-439	waterbuffalo
H-439	-0.6718904376029968	
D-439	-0.6718904376029968	
P-439	-0.0072 -1.3366
S-61	ન્યૂઝીલેન્ડ[gu_IN]
T-61	newzealand
H-61	-0.12699225544929504	
D-61	-0.12699225544929504	
P-61	-0.0065 -0.2474
S-919	અભિષેક[gu_IN]
T-919	abhisheka
H-919	-1.5678541660308838	ષેક
D-919	-1.5678541660308838	ષેક
P-919	-0.0077 -5.9781 -1.3194 -0.2324 -0.3017
S-901	વડસર[gu_IN]
T-901	vadsarkutch
H-901	-1.331196665763855	વડસર
D-901	-1.331196665763855	વડસર
P-901	-0.0073 -3.3841 -2.2734 -1.7390 -0.5084 -0.0750
S-522	અમદાવાદશેરબજાર[gu_IN]
T-522	ahmedabadstockexchange
H-522	-0.5281469821929932	શેર બજાર
D-522	-0.5281469821929932	શેરબજાર
P-522	-0.0073 -1.2282 -0.1081 -0.0311 -1.2661
S-618	જાબાળ[gu_IN]
T-618	jabalamreli
H-618	-0.4438351094722748	
D-618	-0.4438351094722748	
P-618	-0.0075 -0.8802
S-182	ભગવાનદાસપટેલ[gu_IN]
T-182	bhagwandaspatel
H-182	-1.6278231143951416	
D-182	-1.6278231143951416	
P-182	-0.0070 -3.2486
S-322	લીલાપુર[gu_IN]
T-322	lilapurrajkot
H-322	-0.6793032288551331	
D-322	-0.6793032288551331	
P-322	-0.0074 -1.3512
S-336	નાગદા[gu_IN]
T-336	nagdarajasthan
H-336	-0.6933401226997375	
D-336	-0.6933401226997375	
P-336	-0.0068 -1.3799
S-523	આંકડો[gu_IN]
T-523	calotropisgigantea
H-523	-0.802172064781189	
D-523	-0.802172064781189	
P-523	-0.0072 -1.5971
S-613	હરીયલ[gu_IN]
T-613	yellowfootedgreenpigeon
H-613	-1.0147557258605957	
D-613	-1.0147557258605957	
P-613	-0.0072 -2.0223
S-711	જીસ્વાન[gu_IN]
T-711	gujaratstatewideareanetwork
H-711	-1.4152467250823975	
D-711	-1.4152467250823975	
P-711	-0.0070 -2.8235
S-310	ગુજરાતનામુખ્યમંત્રી[gu_IN]
T-310	chiefministersofgujarat
H-310	-1.2240103483200073	ના મુખ્યમંત્રી
D-310	-1.2240103483200073	નામુખ્યમંત્રી
P-310	-0.0070 -5.1653 -0.2155 -0.0515 -0.6808
S-392	કરિયાતું[gu_IN]
T-392	andrographispaniculata
H-392	-0.7545344233512878	
D-392	-0.7545344233512878	
P-392	-0.0072 -1.5019
S-352	બન્ની[gu_IN]
T-352	bannigrasslandsreserve
H-352	-0.36970582604408264	
D-352	-0.36970582604408264	
P-352	-0.0069 -0.7325
S-875	પતેતી[gu_IN]
T-875	zoroastrianfestivals
H-875	-0.7492461800575256	
D-875	-0.7492461800575256	
P-875	-0.0072 -1.4913
S-661	કાંગડા[gu_IN]
T-661	kangrahimachalpradesh
H-661	-0.8880179524421692	
D-661	-0.8880179524421692	
P-661	-0.0078 -1.7683
S-497	અધરંગ[gu_IN]
T-497	tickellsblueflycatcher
H-497	-0.25671809911727905	
D-497	-0.25671809911727905	
P-497	-0.0065 -0.5069
S-328	હોલોંગ[gu_IN]
T-328	dipterocarpusmacrocarpus
H-328	-0.36762189865112305	
D-328	-0.36762189865112305	
P-328	-0.0066 -0.7286
S-116	મહાસમન્દ[gu_IN]
T-116	mahasamund
H-116	-0.6094420552253723	
D-116	-0.6094420552253723	
P-116	-0.0069 -1.2120
S-74	પિશાચ[gu_IN]
T-74	pishacha
H-74	-0.8717138171195984	
D-74	-0.8717138171195984	
P-74	-0.0075 -1.7359
S-218	બાળસાહિત્ય[gu_IN]
T-218	childrensliterature
H-218	-0.9636467099189758	
D-218	-0.9636467099189758	
P-218	-0.0076 -1.9197
S-120	ખંભાત[gu_IN]
T-120	khambhat
H-120	-0.4689900279045105	
D-120	-0.4689900279045105	
P-120	-0.0068 -0.9312
S-813	ગર્ભાવસ્થા[gu_IN]
T-813	pregnancy
H-813	-0.6531596779823303	
D-813	-0.6531596779823303	
P-813	-0.0078 -1.2986
S-541	આદિત્યાણા[gu_IN]
T-541	aadityana
H-541	-1.0237867832183838	
D-541	-1.0237867832183838	
P-541	-0.0080 -2.0396
S-664	આરામબાગ[gu_IN]
T-664	arambag
H-664	-1.086581826210022	
D-664	-1.086581826210022	
P-664	-0.0074 -2.1658
S-354	સાપુતારા[gu_IN]
T-354	saputara
H-354	-1.6684191226959229	સાતારા
D-354	-1.6684191226959229	સાતારા
P-354	-0.0080 -1.6151 -4.5308 -1.4938 -1.7828 -0.5800
S-341	સંથાલીભાષા[gu_IN]
T-341	santalilanguage
H-341	-1.3598445653915405	gujarati languages
D-341	-1.3598445653915405	gujaratilanguages
P-341	-0.0072 -5.2235 -0.4625 -0.6903 -1.1109 -1.0385 -1.8473 -0.4987
S-46	ફરીદાબાદ[gu_IN]
T-46	faridabad
H-46	-0.6962186694145203	
D-46	-0.6962186694145203	
P-46	-0.0075 -1.3849
S-247	ભારતીયકાયદો[gu_IN]
T-247	lawinindia
H-247	-0.5318247675895691	કાયદો
D-247	-0.5318247675895691	કાયદો
P-247	-0.0077 -2.3633 -0.1465 -0.1285 -0.0761 -0.4689
S-132	દિવેલી[gu_IN]
T-132	ricinus
H-132	-0.6772104501724243	
D-132	-0.6772104501724243	
P-132	-0.0072 -1.3472
S-672	સોજિત્રા[gu_IN]
T-672	sojitra
H-672	-0.8326320648193359	
D-672	-0.8326320648193359	
P-672	-0.0079 -1.6573
S-370	ચંપાવત[gu_IN]
T-370	champawat
H-370	-0.36381596326828003	
D-370	-0.36381596326828003	
P-370	-0.0068 -0.7208
S-669	ભારતીયસિનેમા[gu_IN]
T-669	cinemaofindia
H-669	-0.6843265295028687	સિનેમા
D-669	-0.6843265295028687	સિનેમા
P-669	-0.0072 -3.0992 -0.2745 -0.2142 -0.1710 -0.3399
S-574	ગુણવંતશાહ[gu_IN]
T-574	gunvantshah
H-574	-1.5065134763717651	
D-574	-1.5065134763717651	
P-574	-0.0087 -3.0043
S-119	જપમાળા[gu_IN]
T-119	japamala
H-119	-1.218092679977417	
D-119	-1.218092679977417	
P-119	-0.0075 -2.4287
S-421	જિલ્લાકલેક્ટર[gu_IN]
T-421	districtcollector
H-421	-0.5289793014526367	કલેક્ટર
D-421	-0.5289793014526367	કલેક્ટર
P-421	-0.0079 -2.5013 -0.1877 -0.0477 -0.0422 -0.3872
S-631	ડુંગરપુર[gu_IN]
T-631	dungarpur
H-631	-1.2643523216247559	ડુંગરપુર
D-631	-1.2643523216247559	ડુંગરપુર
P-631	-0.0074 -4.1163 -3.8654 -0.0288 -0.6031 -0.1303 -0.0993
S-722	દક્ષિણઆફ્રિકા[gu_IN]
T-722	southafrica
H-722	-0.6750311851501465	આફ્રિકા
D-722	-0.6750311851501465	આફ્રિકા
P-722	-0.0070 -2.7615 -0.1272 -0.1800 -0.0942 -0.8802
S-708	પોપગાયક[gu_IN]
T-708	popsingers
H-708	-1.765358328819275	
D-708	-1.765358328819275	
P-708	-0.0075 -3.5232
S-746	ચકલાસી[gu_IN]
T-746	chaklasi
H-746	-0.5019968152046204	
D-746	-0.5019968152046204	
P-746	-0.0066 -0.9974
S-797	રાજારવિવર્મા[gu_IN]
T-797	rajaravivarma
H-797	-0.8004921078681946	રવિ વર્મા
D-797	-0.8004921078681946	રવિવર્મા
P-797	-0.0073 -2.1198 -0.8165 -0.1291 -0.0741 -1.6562
S-124	કડીયાદરા[gu_IN]
T-124	kadiadara
H-124	-0.9787982106208801	ડીયાદરા
D-124	-0.9787982106208801	ડીયાદરા
P-124	-0.0073 -4.9622 -0.1343 -0.2660 -0.1741 -0.3289
S-335	હરિશ્ચંદ્ર[gu_IN]
T-335	harishchandra
H-335	-0.7991734147071838	
D-335	-0.7991734147071838	
P-335	-0.0070 -1.5913
S-280	તુલસીદાસ[gu_IN]
T-280	tulsidas
H-280	-0.6403710246086121	
D-280	-0.6403710246086121	
P-280	-0.0077 -1.2731
S-535	પાર્વતીનદી[gu_IN]
T-535	parvatiriver
H-535	-2.0794103145599365	નદી નદી
D-535	-2.0794103145599365	નદીનદી
P-535	-0.0069 -5.2620 -2.9325 -0.9767 -1.2189
S-333	રણાસણ[gu_IN]
T-333	ranasantown
H-333	-1.2604413032531738	
D-333	-1.2604413032531738	
P-333	-0.0073 -2.5136
S-581	ભારતનારાષ્ટ્રપતિ[gu_IN]
T-581	presidentofindia
H-581	-0.4558214247226715	રાષ્ટ્રપતિ
D-581	-0.4558214247226715	રાષ્ટ્રપતિ
P-581	-0.0082 -1.4088 -0.9019 -0.2615 -0.0593 -0.0952
S-519	શિકારીપક્ષીઓ[gu_IN]
T-519	predators
H-519	-1.2145624160766602	કારી પક્ષીઓ
D-519	-1.2145624160766602	કારીપક્ષીઓ
P-519	-0.0074 -5.8933 -0.1908 -0.3035 -0.0295 -0.8630
S-518	વેજલપુર[gu_IN]
T-518	vejalpur
H-518	-1.137313961982727	
D-518	-1.137313961982727	
P-518	-0.0079 -2.2668
S-292	માણાવદર[gu_IN]
T-292	manavadar
H-292	-1.3369309902191162	district of પંચવદર
D-292	-1.3369309902191162	districtofપંચવદર
P-292	-0.0069 -5.9655 -0.9244 -3.2107 -0.4779 -0.0188 -0.0022 -0.0891
S-478	વુઝૂ[gu_IN]
T-478	wudu
H-478	-1.047071933746338	વુઝૂ
D-478	-1.047071933746338	વુઝૂ
P-478	-0.0077 -4.8269 -0.4201 -0.1179 -0.2058 -0.7040
S-608	૪જીમોબાઇલસેવા[gu_IN]
T-608	4g
H-608	-2.1480612754821777	મોબાઇલ મોબાઇલ સેવા
D-608	-2.1480612754821777	મોબાઇલમોબાઇલસેવા
P-608	-0.0075 -5.0842 -4.0731 -2.4661 -0.0312 -1.2263
S-917	ગંગાનદી[gu_IN]
T-917	ganges
H-917	-1.2735309600830078	જંગા નદી
D-917	-1.2735309600830078	જંગાનદી
P-917	-0.0082 -7.2753 -0.2604 -1.0617 -0.0849 -0.0527 -0.1716
S-511	બ્રહ્માંડ[gu_IN]
T-511	universe
H-511	-0.8320387005805969	
D-511	-0.8320387005805969	
P-511	-0.0072 -1.6569
S-365	ચિત્રલિપિ[gu_IN]
T-365	ideogram
H-365	-0.6966356039047241	
D-365	-0.6966356039047241	
P-365	-0.0071 -1.3862
S-256	શેરપોઇન્ટ[gu_IN]
T-256	sharepoint
H-256	-0.7340150475502014	
D-256	-0.7340150475502014	
P-256	-0.0073 -1.4607
S-617	મોરવાડા[gu_IN]
T-617	morvada
H-617	-1.0136128664016724	
D-617	-1.0136128664016724	
P-617	-0.0075 -2.0197
S-666	મેક્સિકો[gu_IN]
T-666	mexico
H-666	-1.304901361465454	
D-666	-1.304901361465454	
P-666	-0.0080 -2.6018
S-169	લાપાસરી[gu_IN]
T-169	lapasari
H-169	-0.5133417844772339	
D-169	-0.5133417844772339	
P-169	-0.0080 -1.0187
S-839	આધ્યાત્મ[gu_IN]
T-839	spirituality
H-839	-0.6628209352493286	ધ્યાત્મ
D-839	-0.6628209352493286	ધ્યાત્મ
P-839	-0.0069 -3.6565 -0.0216 -0.0027 -0.0516 -0.2376
S-706	એસ્ટાટીન[gu_IN]
T-706	astatine
H-706	-1.0274723768234253	
D-706	-1.0274723768234253	
P-706	-0.0071 -2.0478
S-193	કૃતજ્ઞતા[gu_IN]
T-193	gratitude
H-193	-0.9020622372627258	
D-193	-0.9020622372627258	
P-193	-0.0067 -1.7975
S-548	કેમ્પર્સનેટવર્ક[gu_IN]
T-548	campusnetwork
H-548	-1.080448865890503	
D-548	-1.080448865890503	
P-548	-0.0072 -2.1537
S-665	શીતપેટી[gu_IN]
T-665	refrigerator
H-665	-0.4639984667301178	
D-665	-0.4639984667301178	
P-665	-0.0071 -0.9209
S-588	બોયઝોન[gu_IN]
T-588	boyzone
H-588	-0.5831454396247864	
D-588	-0.5831454396247864	
P-588	-0.0072 -1.1591
S-141	દાત્રાણા[gu_IN]
T-141	datrana
H-141	-0.5932716131210327	ત્રાણા
D-141	-0.5932716131210327	ત્રાણા
P-141	-0.0072 -2.7930 -0.1539 -0.1080 -0.2581 -0.2394
S-78	વડતાલ[gu_IN]
T-78	vadtal
H-78	-1.027069330215454	
D-78	-1.027069330215454	
P-78	-0.0076 -2.0466
S-468	મનોવિજ્ઞાન[gu_IN]
T-468	psychology
H-468	-1.5595632791519165	ગુજરાતી સાહિત્યવિજ્ઞાન
D-468	-1.5595632791519165	ગુજરાતીસાહિત્યવિજ્ઞાન
P-468	-0.0076 -5.2052 -3.3134 -2.1926 -0.0514 -0.0029 -0.1438
S-235	નાનોસણા[gu_IN]
T-235	nanosana
H-235	-1.4725799560546875	
D-235	-1.4725799560546875	
P-235	-0.0072 -2.9379
S-90	ગારીયાધાર[gu_IN]
T-90	gariadhar
H-90	-1.2177793979644775	
D-90	-1.2177793979644775	
P-90	-0.0080 -2.4275
S-180	ભેચડા[gu_IN]
T-180	bhechada
H-180	-0.3735065758228302	
D-180	-0.3735065758228302	
P-180	-0.0075 -0.7395
S-412	કાંગડીભાષા[gu_IN]
T-412	kangridialect
H-412	-1.408210277557373	gujarati language
D-412	-1.408210277557373	gujaratilanguage
P-412	-0.0075 -5.3675 -0.7371 -0.9920 -0.6942 -1.7324 -0.3268
S-807	ઉમરેઠ[gu_IN]
T-807	umreth
H-807	-0.4442913234233856	
D-807	-0.4442913234233856	
P-807	-0.0072 -0.8814
S-111	ખેરાલુ[gu_IN]
T-111	kheralu
H-111	-0.8832113742828369	
D-111	-0.8832113742828369	
P-111	-0.0073 -1.7591
S-65	ભીમતાલ[gu_IN]
T-65	bhimtal
H-65	-1.029031753540039	
D-65	-1.029031753540039	
P-65	-0.0072 -2.0508
S-207	શરાવતીનદી[gu_IN]
T-207	sharavati
H-207	-0.46127849817276	
D-207	-0.46127849817276	
P-207	-0.0070 -0.9156
S-683	અમરોલી[gu_IN]
T-683	amroli
H-683	-0.6115968227386475	
D-683	-0.6115968227386475	
P-683	-0.0079 -1.2153
S-612	ભિલવાડા[gu_IN]
T-612	bhilwara
H-612	-0.6651912331581116	
D-612	-0.6651912331581116	
P-612	-0.0068 -1.3236
S-538	મરાઠીલોકો[gu_IN]
T-538	marathipeople
H-538	-1.2830342054367065	રાઠી લોકો
D-538	-1.2830342054367065	રાઠીલોકો
P-538	-0.0078 -6.4792 -0.1826 -0.3617 -0.0149 -0.6520
S-571	સેંટિયાગો[gu_IN]
T-571	santiago
H-571	-0.38177087903022766	
D-571	-0.38177087903022766	
P-571	-0.0077 -0.7558
S-529	તુમ્બાડ[gu_IN]
T-529	tumbbad
H-529	-1.6073476076126099	તુમ્બાડ
D-529	-1.6073476076126099	તુમ્બાડ
P-529	-0.0079 -4.0945 -4.3960 -0.6365 -1.8830 -0.0899 -0.1437
S-349	મહાનતમભારતીય[gu_IN]
T-349	thegreatestindian
H-349	-1.2220796346664429	
D-349	-1.2220796346664429	
P-349	-0.0072 -2.4370
S-199	બોરીબંદર[gu_IN]
T-199	boribunder
H-199	-0.9208601713180542	
D-199	-0.9208601713180542	
P-199	-0.0073 -1.8344
S-546	જશોદાબેન[gu_IN]
T-546	jashodaben
H-546	-1.4723970890045166	શોદાબેન
D-546	-1.4723970890045166	શોદાબેન
P-546	-0.0072 -6.7437 -0.1934 -0.3671 -0.1631 -1.3597
S-314	મહારાષ્ટ્રનાલોકો[gu_IN]
T-314	peoplefrommaharashtra
H-314	-1.2033920288085938	રાષ્ટ્રના લોકો
D-314	-1.2033920288085938	રાષ્ટ્રનાલોકો
P-314	-0.0075 -2.5720 -3.4233 -1.9562 -0.3689 -0.0097 -0.0861
S-309	ઉમરગામ[gu_IN]
T-309	umbergaon
H-309	-0.6573620438575745	
D-309	-0.6573620438575745	
P-309	-0.0079 -1.3068
S-512	ઉષામહેતા[gu_IN]
T-512	ushamehta
H-512	-1.1404807567596436	ષા મહેતા
D-512	-1.1404807567596436	ષામહેતા
P-512	-0.0078 -4.6970 -0.0926 -0.6625 -0.0880 -1.2950
S-301	કિરણબેદી[gu_IN]
T-301	kiranbedi
H-301	-1.5665184259414673	રણ બેદી
D-301	-1.5665184259414673	રણબેદી
P-301	-0.0072 -6.9561 -1.4834 -0.2959 -0.0604 -0.5961
S-563	પાંચપીપળા[gu_IN]
T-563	panchpipla
H-563	-0.9192990064620972	
D-563	-0.9192990064620972	
P-563	-0.0077 -1.8309
S-103	ચેટીચંડ[gu_IN]
T-103	chetichand
H-103	-0.4962656795978546	
D-103	-0.4962656795978546	
P-103	-0.0067 -0.9858
S-692	હેલબેરી[gu_IN]
T-692	halleberry
H-692	-1.3937346935272217	
D-692	-1.3937346935272217	
P-692	-0.0075 -2.7800
S-227	ઓપરેશનરાહત[gu_IN]
T-227	operationraahat
H-227	-0.9822454452514648	પરેશન રાહત
D-227	-0.9822454452514648	પરેશનરાહત
P-227	-0.0073 -4.9280 -0.0392 -0.6413 -0.0202 -0.2575
S-641	ત્રણદરવાજા[gu_IN]
T-641	teendarwaza
H-641	-0.5442773699760437	દરવાજા
D-641	-0.5442773699760437	દરવાજા
P-641	-0.0072 -2.0067 -0.2453 -0.1101 -0.0958 -0.8005
S-237	કડલૂર[gu_IN]
T-237	cuddalore
H-237	-0.7800799012184143	
D-237	-0.7800799012184143	
P-237	-0.0071 -1.5531
S-425	મધુબની[gu_IN]
T-425	madhubaniindia
H-425	-1.1163992881774902	
D-425	-1.1163992881774902	
P-425	-0.0077 -2.2251
S-815	મહાત્માગાંધી[gu_IN]
T-815	mahatmagandhi
H-815	-1.028927206993103	
D-815	-1.028927206993103	
P-815	-0.0068 -2.0511
S-167	હોશિયારપુર[gu_IN]
T-167	hoshiarpur
H-167	-0.46918001770973206	
D-167	-0.46918001770973206	
P-167	-0.0065 -0.9319
S-21	નવકારમંત્ર[gu_IN]
T-21	namokarmantra
H-21	-1.2660795450210571	કાર મંત્ર
D-21	-1.2660795450210571	કારમંત્ર
P-21	-0.0077 -6.9253 -0.1740 -0.1095 -0.0329 -0.3470
S-700	ઈન્દિરાગાંધી[gu_IN]
T-700	indiragandhi
H-700	-1.1933729648590088	
D-700	-1.1933729648590088	
P-700	-0.0074 -2.3794
S-485	ભારતનારાષ્ટ્રપતિ[gu_IN]
T-485	presidentsofindia
H-485	-0.4558214247226715	રાષ્ટ્રપતિ
D-485	-0.4558214247226715	રાષ્ટ્રપતિ
P-485	-0.0082 -1.4088 -0.9019 -0.2615 -0.0593 -0.0952
S-660	છિન્નપત્ર[gu_IN]
T-660	chhinnapatra
H-660	-0.5682376623153687	
D-660	-0.5682376623153687	
P-660	-0.0081 -1.1284
